Study_Hours,Attendance_%,Previous_Exam_Score,Passed
3.7,78.5,37.2,0
9.5,45.0,93.2,1
7.3,49.7,65.4,1
6.0,93.9,87.9,1
1.6,76.4,52.4,0
1.6,40.6,92.7,0
0.6,46.1,57.2,0
8.7,79.8,30.8,1
6.0,40.3,93.4,0
7.1,49.6,36.4,0
0.2,72.9,52.4,0
9.7,81.5,96.5,1
8.3,79.1,96.5,1
2.1,53.5,70.1,0
1.8,82.7,74.2,0
1.8,54.2,61.4,0
3.0,59.5,50.5,0
5.2,84.8,53.0,0
4.3,79.0,77.1,0
2.9,91.0,82.7,1
6.1,79.5,85.4,1
1.4,74.1,85.3,0
2.9,45.6,36.4,0
3.7,62.1,64.6,0
4.6,55.9,34.0,1
7.9,54.6,68.5,1
2.0,98.4,60.9,1
5.1,63.6,92.1,1
5.9,93.5,54.6,1
0.5,77.9,38.2,0
6.1,87.7,40.0,1
1.7,70.2,83.3,0
0.7,74.6,73.3,0
9.5,69.6,37.1,1
9.7,51.7,35.9,1
8.1,83.3,79.1,1
3.0,56.8,35.1,0
1.0,41.5,87.5,0
6.8,78.7,79.4,1
4.4,50.6,35.7,0
1.2,96.4,35.9,1
5.0,97.2,99.1,1
0.3,94.9,56.2,0
9.1,62.2,55.9,1
2.6,40.9,86.9,0
6.6,95.7,96.3,1
3.1,65.7,99.0,1
5.2,98.0,82.7,1
5.5,97.8,56.3,1
1.8,91.2,35.8,0
9.7,57.7,84.4,1
7.8,63.1,69.1,1
9.4,91.1,59.7,1
8.9,59.0,93.4,1
6.0,50.2,37.8,0
9.2,73.4,64.5,1
0.9,96.2,30.8,0
2.0,81.8,62.8,0
0.5,74.2,33.9,0
3.3,45.8,38.3,0
3.9,76.9,38.2,0
2.7,99.4,75.4,1
8.3,48.4,82.2,1
3.6,71.1,70.8,0
2.8,92.6,97.4,1
5.4,84.4,56.2,1
1.4,81.8,50.0,0
8.0,82.1,90.8,1
0.7,61.6,45.7,0
9.9,57.6,97.4,1
7.7,88.6,30.9,1
2.0,88.6,97.9,0
0.1,92.0,33.0,0
8.2,94.8,92.4,1
7.1,70.7,66.9,1
7.3,70.1,99.5,1
7.7,87.9,35.2,1
0.7,79.0,68.8,0
3.6,82.1,97.9,1
1.2,87.7,66.6,0
8.6,93.4,74.1,1
6.2,60.3,78.7,1
3.3,62.5,61.8,0
0.6,45.6,73.9,0
3.1,74.7,70.9,1
3.3,42.2,93.1,0
7.3,67.9,33.2,1
6.4,72.6,49.7,0
8.9,57.2,96.5,1
4.7,75.4,92.3,1
1.2,41.8,61.9,0
7.1,42.2,73.4,0
7.6,89.4,49.4,1
5.6,61.6,43.2,0
7.7,47.6,62.5,1
4.9,71.3,54.7,0
5.2,86.2,70.9,1
4.3,52.9,35.4,0
0.3,77.4,98.2,1
1.1,45.1,99.0,0
0.3,43.1,78.9,0
6.4,71.9,67.5,1
3.1,72.4,51.7,0
5.1,78.2,87.0,1
9.1,83.6,77.9,1
2.5,98.6,41.4,0
4.1,71.0,93.8,1
7.6,59.4,87.6,1
2.3,87.7,96.5,1
0.8,56.2,80.8,0
2.9,66.3,72.9,1
1.6,44.7,59.3,0
9.3,41.5,95.3,1
8.1,97.8,90.6,1
6.3,90.2,33.2,0
8.7,81.8,31.8,1
8.0,64.5,56.4,1
1.9,50.4,86.7,1
8.9,49.4,99.1,1
5.4,55.0,40.5,0
8.1,73.0,71.6,1
9.0,82.9,56.7,1
3.2,79.6,97.9,1
1.1,56.8,88.9,0
2.3,97.3,88.7,1
4.3,84.3,62.8,1
8.2,73.3,59.0,1
8.6,76.7,49.1,1
0.1,65.2,33.9,0
5.1,54.9,90.5,1
4.2,61.4,86.9,1
2.2,85.5,100.0,1
1.2,40.9,99.8,0
3.4,47.0,68.9,0
9.4,42.8,83.8,1
3.2,42.4,96.1,0
5.2,91.3,89.5,1
7.0,82.2,47.3,1
3.6,68.5,61.5,1
9.7,45.9,39.0,1
9.6,69.5,96.8,1
2.5,68.4,72.4,0
5.0,50.4,46.0,0
3.0,66.0,77.0,0
2.8,63.9,73.3,0
0.4,77.0,55.1,0
6.1,78.1,37.9,1
5.0,42.7,77.0,0
0.5,62.5,66.4,0
2.8,77.6,84.1,1
9.1,70.2,66.4,1
2.4,91.4,89.7,1
1.4,79.5,68.6,0
4.9,49.8,69.3,0
9.9,44.2,91.4,1
2.4,78.5,58.2,1
6.7,41.6,39.4,0
7.6,75.1,32.0,1
2.4,96.4,82.9,1
7.3,74.5,73.4,1
3.7,63.3,79.3,1
6.3,78.6,44.9,1
6.3,67.5,39.5,1
5.4,72.7,31.0,1
0.9,96.5,54.5,1
8.4,63.2,71.3,1
3.2,97.7,57.5,1
1.9,94.3,60.6,1
0.4,51.7,93.3,1
5.9,44.2,54.4,1
6.8,46.0,66.0,1
0.2,41.1,84.9,0
5.1,45.7,57.8,0
2.3,81.0,73.5,1
6.5,44.3,90.4,1
1.7,59.1,96.5,1
6.9,90.7,40.3,1
3.9,41.4,94.9,1
9.4,88.9,64.4,1
1.4,56.9,48.1,0
3.4,47.1,62.1,0
1.1,81.8,98.6,0
9.2,77.7,64.5,1
8.8,92.6,53.0,1
2.6,84.1,74.3,0
6.6,88.2,46.8,1
8.2,56.9,35.3,0
5.6,50.6,39.0,1
5.3,85.0,39.0,1
2.4,88.4,40.6,0
0.9,99.4,39.7,0
9.0,64.8,74.9,1
9.0,62.3,42.7,0
6.3,86.6,54.2,1
3.4,60.4,92.8,1
3.5,95.8,63.2,1
7.3,91.5,76.7,1
9.0,65.7,42.1,1
8.9,85.1,43.5,1
7.8,85.3,32.9,1
