S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Calories_kcal,Carbohydrates_g,Proteins_g
1,HIDE & SEEK® ,PARLE,BISCUIT,COOKIES,"REFINED WHEAT FLOUR (MAIDA), CHOCOLATE (23%)  SUGAR, COCOA SOLIDS, COCOA BUTTER, DEXTROSE, EMULSIFIER OF VEGETABLE ORIGIN (SOY LECITHIN) , ARTIFICIAL FLAVOURING SUBSTANCES - VANILLA CAKE, SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP, RAISING AGENTS 503 (ii ),RAISING AGENTS 500 (ii), IODISED SALT , EMULSIFIER OF VEGETABLE ORIGIN [ 472e]",100,479,73.4,5.9
2,Britannia Nutrichoice Digestive High-Fibre Biscuits,BRITANNIA,BISCUIT,DIGESTIVE BISCUIT,"WHEAT FLOUR (ATTA) (65.5%), REFINED PALM OIL, SUGAR, WHEAT BRAN (2.6%), MALTODEXTRIN, MILK SOLIDS , WHEY POWDEr, INVERT SUGAR SYRUP, RAISING AGENTS 503(ii),RAISING AGENTS 500(ii), IODISED SALT, EMULSIFIERS 322(i) ,EMULSIFIERS 471 , MALT ,EXTRACT, NATURE IDENTICAL & ARTIFICIAL (VANILLA CAKE) FLAVOURING SUBSTANCES , DOUGH CONDITIONER [223]",100,483,68,9.3
3,"Sunfeast Dark Fantasy Choco Fills, Original Filled Cookies with Choco Crème",SUNFEAST,BISCUIT,CHOCO FILLS," SUGAR, REFINED PALMOLEIN, REFINED PALM OIL, COCOA SOLIDS, EMULSIFIER [LECITHIN (FROM SOYABEAN)], NATURE IDENTICAL FLAVOURING SUBSTANCES (CHOCOLATE), ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA CAKE), MAIDA (REFINED WHEAT FLOUR), HYDROGENATED VEGETABLE OIL, INVERT SYRUP, LIQUID GLUCOSE, RAISING AGENTS INS 503(ii),RAISING AGENTS INS 500(ii),RAISING AGENTS INS 450(i), COCOA SOLIDS (0.7%), BUTTER, MILK SOLIDS, IODIZED SALT, NATURE IDENTICAL FLAVOURING SUBSTANCES (*MILK CHOCOLATE), COLOURS INS 150c,COLOURS  INS 150d, EMULSIFIERS LECITHIN (FROM SOYABEAN), MONO AND DIGLYCERIDES OF FATTY ACIDS (FROM PALM OIL), ARTIFICIAL FLAVOURING SUBSTANCES MILK,ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE",100,507,61.1,7.3
4,Sunfeast Baked Creations Rich Choco Chip Cookies,SUNFEAST,BISCUIT,COOKIES,"MAIDA (REFINED WHEAT FLOUR), DARK CHOCOLATE CHIPS (24.8%), BELGIUM DARK CHOCOLATE( 0.1%), SUGAR, COCOA SOLIDS, COCOA BUTTER, DEXTROSE, EMULSIFIER [LECITHIN (FROM SOYABEAN)], ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA CAKE), SUGAR, REFINED PALMOLEIN, REFINED PALM OIL, COCOA SOLIDS, EMULSIFIER (LECITHIN (FROM SOYABEAN)], NATURE IDENTICAL FLAVOURING SUBSTANCES, ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA CAKE)), HYDROGENATED VEGETABLE OIL,  BUTTER, REFINED PALM OIL, MILK SOLIDS, COCOA SOLIDS (0.6%),LIQUID GLUCOSE, RAISING AGENTS INS 500(ii),RAISING AGENTS INS 503(1),RAISING AGENTS INS 450(1), ARTIFICIAL FLAVOURING SUBSTANCES CHOCOLATE,ARTIFICIAL FLAVOURING SUBSTANCES COCOA, ARTIFICIAL FLAVOURING SUBSTANCES SWEET, ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE, EMULSIFIER [MONO AND DIGLYCERIDES OF FATTY ACIDS (FROM PALM OIL), IODIZED SALT, COLOUR (INS 150c)",20,105,12.6,1.2
5,"sunfeast Dark Fantasy Bourbon, Classic Biscuit Made With Real Chocolate",SUNFEAST,BISCUIT,CREAME,"Cocoa Solids (2.3%), Emulsifiers lecithin (from Soyabean), mono- and Di-Glycerides of Fatty Acids (from Palm Oil), Polyglycerol Esters of Interesterified Ricinoleic Acid (from Castor Bean), Iodised Salt, Milk Solids,Cocoa Butter, Cocoa Solids, Emulsifiers [lecithin (from Soyabean)], Sugar, Raising Agents ins 450(i), Raising Agents ins 500(ii), Raising Agents ins 503(ii)], Refined Palm Oil, Refined Wheat Flour (Maida), Starch, Sugar (32.3%), Artificial Flavouring Substances - VANILLA CAKE",108,445,77.4,9.1
6,Britannia Good Day Cashew Cookies Family Pack,BRITANNIA,BISCUIT,COOKIES,"Added Flavours (Nature Identical and Artificial - Milk and VANILLA CAKE), Butter (0.6%), Cashew Nuts (4.5%), Edible Vegetable Oil (Palm), Emulsifiers (322, 471, 472e), Iodised Salt, Invert Syrup, Milk Solids, Raising Agents (503(ii) & 500(ii)), Refined Wheat Flour (Maida), Sugar",100,512,67,7
7,The Baker's Dozen Zero Maida Coconut and Oats Biscuits Cookies,THE BAKER'S DOZEN,BISCUIT,COOKIES,"Artificial Flavouring Substance (VANILLA CAKE), Butter, Custard Powder, Desiccated Coconut (16%), Liquid Glucose, Milk Solids, Oats (8%), Raising Agents INS 500(ii), Raising Agents INS 503, Sugar, Wholewheat Flour (Atta)",100,538,56,10
8,Britannia The Original Bourbon,BRITANNIA,BISCUIT,CREAME,"Refined Wheat Flour, Sugar, Refined Palm Oil, Edible Maize Starch, Cocoa Solids, Milk Solids, Raising Agents, Nature Identical, Artificial Flavouring Substances VANILLA CAKE, Artificial Flavouring Substances Chocolate Milk,Artificial Flavouring Substances  Milky Cocoa, Emulsifiers 471  Emulsifiers 322(i), Iodised Salt",100,493.5,72.7,5
9,Nutrisum Oats Cookies,NUTRISUM,BISCUIT,COOKIES,"Oats Flour (25%), Wheat Flour (Atta) (25%), Hydrogenated Vegetable Fat,  Cashew 5%, Almonds 2%, Pistachio 1%, Fructo Oligosaccharides, Sweeteners INS 965(I), Sweeteners INS 955, Milk Solids, Raising Agents INS 500(Ii),Raising Agents INS 503(Ii), Salt, Natural,  Nature Identical Flavouring Substances",100,516.9,15.4,8.2
10,Britannia Good Day Pista Badam,BRITANNIA,BISCUIT,COOKIES,"Refined Wheat Flour (Maida), Sugar, Edible Vegetable Oil, Cashew, Almonds, Pista, Milk Solids, Butter, Iodised Salt, Nature Identical Artificial Flavouring Substances- VANILLA CAKE",100,512,67,7
